zipcode,borough,Population,Population Density,Housing Units,Median Home Value,Land Area,Water Area,Occupied Housing Units,Median Household Income,Male,Female,White,Black Or African American,American Indian Or Alaskan Native,Asian,Native Hawaiian & Other Pacific Islander,Other Race,Two Or More Races,Husband Wife Family Households,Single Guardian,Singles,Singles With Roommate,Households without Kids,Households with Kids,In Occupied Housing Units,Correctional Facility For Adults,Juvenile Facilities,Nursing Facilities,Other Institutional,College Student Housing,Military Quarters,Other Noninstitutional,Owned Households With A Mortgage,Owned Households Free & Clear,Renter Occupied Households,Households Vacant,For Rent,Rented & Unoccupied,For Sale Only,Sold & Unoccupied,For Season Recreational Or Occasional Use,For Migrant Workers,Vacant For Other Reasons,Studio Apartment,1 Bedroom,2 Bedroom,3+ Bedroom,Worked Full-time with Earnings,Worked Part-time with Earnings,No Earnings,"Car, truck, or van",Public transportation,Taxicab,Motorcycle,"Bicycle, Walked, or Other Means",Worked at Home,Less than High School Diploma,High School Graduate,Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree,Enrolled in Public School,Enrolled in Private School,Not Enrolled in School
10001,Manhattan,21102.0,33959.0,12476.0,650200.0,0.62,0.0,11031.0,81671.0,10184.0,10918.0,13722.0,1897.0,75.0,3539.0,5.0,1063.0,801.0,2038.0,1138.0,5895.0,1960.0,9853.0,1178.0,18949.0,0.0,0.0,0.0,0.0,1394.0,0.0,759.0,1348.0,1487.0,8196.0,1445.0,758.0,32.0,60.0,24.0,278.0,0.0,293.0,1610.0,3869.0,1640.0,898.0,9455.0,5292.0,5223.0,745.0,5531.0,564.0,0.0,5061.0,932.0,1291.0,3067.0,515.0,5960.0,3399.0,1154.0,490.0,1145.0,544.0,62.0
10002,Manhattan,81410.0,92573.0,34541.0,535600.0,0.88,0.0,32925.0,33218.0,38570.0,42840.0,25506.0,6836.0,374.0,37914.0,32.0,7997.0,2751.0,10721.0,7370.0,11697.0,3137.0,25351.0,7574.0,79717.0,0.0,0.0,595.0,0.0,138.0,0.0,960.0,2336.0,2727.0,27862.0,1616.0,796.0,46.0,171.0,28.0,216.0,0.0,359.0,2337.0,10879.0,10460.0,4430.0,24027.0,15351.0,31648.0,3772.0,18772.0,391.0,36.0,10302.0,1492.0,22528.0,19195.0,2470.0,12969.0,3515.0,1208.0,586.0,8640.0,1646.0,989.0
10003,Manhattan,56024.0,97188.0,31078.0,817700.0,0.58,0.0,28559.0,92540.0,26750.0,29274.0,42794.0,1977.0,101.0,8088.0,24.0,1256.0,1784.0,5620.0,1453.0,16068.0,5418.0,26216.0,2343.0,46493.0,0.0,126.0,87.0,0.0,8506.0,0.0,812.0,5112.0,3278.0,20169.0,2519.0,782.0,76.0,311.0,106.0,1005.0,2.0,237.0,4305.0,9374.0,3956.0,1512.0,24791.0,15163.0,14169.0,1770.0,19295.0,1153.0,32.0,8892.0,2683.0,1668.0,6845.0,771.0,17797.0,8901.0,3819.0,1724.0,1184.0,1483.0,68.0
10004,Manhattan,3089.0,5519.0,2197.0,894200.0,0.56,0.0,1692.0,129313.0,1610.0,1479.0,2167.0,97.0,8.0,655.0,1.0,46.0,115.0,500.0,84.0,803.0,305.0,1441.0,251.0,3064.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,357.0,89.0,1246.0,505.0,60.0,0.0,133.0,8.0,170.0,0.0,134.0,423.0,380.0,196.0,70.0,1719.0,413.0,298.0,142.0,1024.0,31.0,0.0,625.0,144.0,39.0,327.0,84.0,869.0,456.0,276.0,36.0,278.0,35.0,12.0
10005,Manhattan,7135.0,97048.0,5317.0,1000001.0,0.07,0.0,4251.0,124670.0,3443.0,3692.0,5001.0,242.0,10.0,1480.0,2.0,160.0,240.0,732.0,198.0,2127.0,1194.0,3952.0,299.0,7119.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,555.0,104.0,3592.0,1066.0,206.0,22.0,288.0,20.0,175.0,19.0,336.0,1358.0,1174.0,543.0,90.0,4438.0,1284.0,666.0,142.0,3707.0,56.0,0.0,1199.0,192.0,123.0,450.0,36.0,2585.0,1293.0,697.0,219.0,202.0,42.0,20.0
10006,Manhattan,3011.0,32796.0,1991.0,714300.0,0.09,0.0,1791.0,119274.0,1519.0,1492.0,2088.0,137.0,4.0,591.0,0.0,97.0,94.0,325.0,80.0,888.0,498.0,1686.0,105.0,3011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,30.0,1497.0,200.0,65.0,6.0,23.0,4.0,86.0,1.0,15.0,628.0,530.0,225.0,47.0,1699.0,514.0,132.0,46.0,1209.0,25.0,0.0,635.0,92.0,22.0,227.0,122.0,814.0,472.0,220.0,125.0,76.0,12.0,0.0
10007,Manhattan,6988.0,42751.0,3143.0,1000001.0,0.16,0.0,2840.0,216037.0,3958.0,3030.0,5281.0,471.0,5.0,878.0,6.0,90.0,257.0,1192.0,169.0,1052.0,427.0,2088.0,752.0,5962.0,850.0,0.0,0.0,0.0,172.0,0.0,4.0,661.0,166.0,2013.0,303.0,82.0,10.0,58.0,7.0,135.0,0.0,11.0,248.0,769.0,572.0,111.0,3026.0,1252.0,1203.0,274.0,2223.0,268.0,0.0,621.0,271.0,324.0,739.0,101.0,1767.0,1178.0,597.0,300.0,404.0,420.0,26.0
10008,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10009,Manhattan,61347.0,99492.0,31709.0,672800.0,0.62,0.0,30182.0,59929.0,28433.0,32914.0,38077.0,6036.0,304.0,8377.0,33.0,5946.0,2574.0,6099.0,4854.0,12834.0,6395.0,25589.0,4593.0,60123.0,0.0,0.0,269.0,0.0,0.0,0.0,955.0,1330.0,1224.0,27628.0,1527.0,957.0,65.0,15.0,5.0,182.0,0.0,303.0,3023.0,9877.0,10157.0,4182.0,25628.0,12577.0,18592.0,2347.0,19553.0,372.0,90.0,10115.0,1747.0,7791.0,10866.0,1583.0,17247.0,6824.0,2267.0,1155.0,4317.0,1254.0,282.0
10010,Manhattan,31834.0,81487.0,18030.0,746200.0,0.39,0.0,16556.0,97955.0,14755.0,17079.0,23493.0,1877.0,69.0,4586.0,15.0,779.0,1015.0,3798.0,1067.0,8814.0,2877.0,14906.0,1650.0,27896.0,0.0,33.0,0.0,0.0,2931.0,0.0,974.0,2650.0,1583.0,12323.0,1474.0,529.0,61.0,146.0,71.0,538.0,0.0,129.0,2089.0,5872.0,3420.0,617.0,13616.0,6261.0,8448.0,1381.0,9115.0,819.0,23.0,4737.0,1363.0,811.0,4294.0,1063.0,9334.0,4800.0,2461.0,668.0,1093.0,828.0,62.0
